ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
A,11/18/99,45.5,50,40,44,44739900,0,1,29.36775838,32.27226196,25.81780957,28.39959052,44739900
A,11/19/99,42.94,43,39.81,40.38,10897100,0,1,27.71458146,27.753307,25.69439888,26.06229155,10897100
A,11/22/99,41.31,44,40.06,44,4705200,0,1,26.66334283,28.39959052,25.85653628,28.39959052,4705200
A,11/23/99,42.5,43.63,40.25,40.25,4274400,0,1,27.43686271,28.16636047,25.98432292,25.98432292,4274400
A,11/24/99,40.13,41.94,40,41.06,3464400,0,1,25.90546425,27.07388913,25.82154423,26.50581515,3464400
A,11/26/99,40.88,41.5,40.75,41.19,1237100,0,1,26.39017465,26.79041703,26.30625286,26.59029584,1237100
A,11/29/99,41,42.44,40.56,42.13,2914700,0,1,26.4657343,27.39526252,26.18171178,27.19515575,2914700
A,11/30/99,42,42.94,40.94,42.19,3083000,0,1,27.10830822,27.71501797,26.42414615,27.23094104,3083000
A,12/1/99,42.19,43.44,41.88,42.94,2115400,0,1,27.23259858,28.03944258,27.03250127,27.71670498,2115400
A,12/2/99,43.75,45,43.19,44.13,2195900,0,1,28.24519754,29.05220318,27.88365901,28.49052726,2195900
A,12/3/99,44.94,45.69,44.31,44.5,2175700,0,1,29.00744013,29.49154294,28.60079378,28.72343315,2175700
A,12/6/99,45.25,46.44,45.19,45.75,1610000,0,1,29.21027426,29.97845606,29.17154241,29.53303972,1610000
A,12/7/99,45.75,46,44.31,45.25,1585100,0,1,29.53195066,29.69332743,28.6024204,29.2091971,1585100
A,12/8/99,45.25,45.63,44.81,45.19,1350400,0,1,29.20568252,29.45094571,28.92169356,29.16695675,1350400
A,12/9/99,45.25,45.94,45.25,45.81,1451400,0,1,29.21373986,29.65920904,29.21373986,29.57528007,1451400
A,12/10/99,45.69,45.94,44.75,44.75,1190800,0,1,29.49210828,29.65347898,28.88535447,28.88535447,1190800
A,12/13/99,45.5,46.25,44.38,45.5,2875900,0,1,29.37111841,29.85525772,28.64813703,29.37111841,2875900
A,12/14/99,45.38,45.38,42.06,43,1665900,0,1,29.29537067,29.29537067,27.15212187,27.75894532,1665900
A,12/15/99,42,42.31,41,41.69,2087100,0,1,27.10717518,27.30725195,26.46176625,26.90709841,2087100
A,12/16/99,42,48,42,47.25,1848300,0,1,27.10891338,30.98161529,27.10891338,30.49752755,1848300
A,12/17/99,46.38,47.12,45.44,45.94,2652400,0,1,29.93672586,30.4143709,29.32998756,29.6527207,2652400
A,12/20/99,46.25,46.94,46.13,46.88,856100,0,1,29.85153924,30.29689193,29.7740866,30.25816561,856100
A,12/21/99,46.69,46.69,46,46.63,1616200,0,1,30.14143385,30.14143385,29.69599394,30.10269995,1616200
A,12/22/99,46.63,47.56,46.31,47.56,1363200,0,1,30.10134079,30.70168921,29.89476929,30.70168921,1363200
A,12/23/99,47.5,50,47.44,49.75,1544700,0,1,30.66422479,32.27813135,30.62549103,32.1167407,1544700
A,12/27/99,49.94,53.19,49.56,52.81,1451800,0,1,32.23542052,34.33324023,31.99013698,34.0879567,1451800
A,12/28/99,54.25,61.5,53.94,61.5,2546500,0,1,35.01893271,39.69888224,34.81882452,39.69888224,2546500
A,12/29/99,63,79.06,62.94,72,7524000,0,1,40.66865011,51.03592822,40.62991807,46.47845727,7524000
A,12/30/99,76,80,74.25,79.25,4771900,0,1,49.0620472,51.64426021,47.93232901,51.16009528,4771900
A,12/31/99,79.5,79.94,76.25,77.31,1381400,0,1,51.32070529,51.60474441,49.22268903,49.9069651,1381400
A,1/3/00,78.75,78.94,67.38,72,3343600,0,1,50.83581264,50.95846413,43.4960896,46.47845727,3343600
A,1/4/00,68.13,68.88,64.75,66.5,3408500,0,1,43.97533161,44.45942817,41.79366977,42.92322842,3408500
A,1/5/00,66.25,66.31,61.31,61.56,4119200,0,1,42.75991105,42.79863701,39.57147391,39.73283207,4119200
A,1/6/00,61.63,62,58.13,60,1812900,0,1,39.77944748,40.01826617,37.52035181,38.72735436,1812900
A,1/7/00,59.06,65.94,59,65,2016900,0,1,38.12435722,42.56552853,38.08562607,41.95874059,2016900
A,1/10/00,69,69.63,67.56,68.94,1536800,0,1,44.53893072,44.94559052,43.6094226,44.50020122,1536800
A,1/11/00,68.94,68.94,66.44,68,1327600,0,1,44.50153676,44.50153676,42.88775895,43.8947563,1327600
A,1/12/00,68,68,64.06,66.63,1022800,0,1,43.8985923,43.8985923,41.35505621,43.01416478,1022800
A,1/13/00,68.38,69.81,66,67.63,811400,0,1,44.14604949,45.06925584,42.60952422,43.66185035,811400
A,1/14/00,67,69.38,67,68.38,942000,0,1,43.24343262,44.77954261,43.24343262,44.13411824,942000
A,1/18/00,68.63,72.88,68.13,71.5,1503400,0,1,44.30197487,47.04543098,43.97921533,46.15461464,1503400
A,1/19/00,72,72,69.81,70,1877600,0,1,46.47403209,46.47403209,45.06044695,45.18308676,1877600
A,1/20/00,70.75,70.88,67.5,68.13,1436300,0,1,45.66989038,45.75380679,43.57198022,43.97865204,1436300
A,1/21/00,69.13,69.38,66.44,68.75,1372200,0,1,44.62582348,44.78720719,42.88933476,44.38052024,1372200
A,1/24/00,68.5,71.81,68,68.5,1499200,0,1,44.21859893,46.35529327,43.89583543,44.21859893,1499200
A,1/25/00,68.75,69.63,66.44,67.69,825300,0,1,44.37477296,44.94277006,42.88378059,43.69059464,825300
A,1/26/00,67.94,69.25,67.88,68.31,731300,0,1,43.86005689,44.70575419,43.82132266,44.09891796,731300
